Duty Cycle,Left Rotor Speed (rpm),Left Rotor Speed (rad/s),Right Rotor Speed (rpm),Right Rotor Speed (rad/s)
246,480.09,50.275,476.95,49.946
247,480.13,50.279,478.91,50.151
248,482.05,50.480,480.88,50.358
249,487.05,51.004,483.11,50.591
250,486.75,50.972,484.36,50.722
251,490.07,51.320,486.1,50.904
252,488.11,51.115,489.42,51.252
253,495.95,51.936,490.87,51.404
254,496.35,51.978,492.89,51.615
255,495.19,51.856,495.26,51.864
